id;name;source_id;node_id;lat;long;country_code;is_bothDirection;lat_mean;length_km;long_mean;max_pressure_bar;num_compressor;start_year;Capacity_GWh_h;diameter_mm
INET_PL_4080;MIDAL_10;['INET_PL_408'];['INET_N_265', 'INET_N_266'];[53.36059, 53.37944];[7.065929, 7.034];['DE', 'DE'];0.0;53.370015;2.98095018476096;7.0499645;81.16606569777097;3.0;1983;9.166666666666664;800.0
INET_PL_4081;MIDAL_11;['INET_PL_408'];['INET_N_266', 'INET_N_260'];[53.37944, 53.205843];[7.034, 7.229683];['DE', 'DE'];0.0;53.2926415;23.283119069624423;7.1318415;96.58962812248087;3.0;1983;9.166666666666664;800.0
INET_PL_4082;MIDAL_12;['INET_PL_408'];['INET_N_260', 'INET_N_256'];[53.205843, 53.17];[7.229683, 7.39];['DE', 'DE'];0.0;53.1879215;11.404382347448239;7.309841499999999;96.58962812248087;3.0;1983;9.166666666666664;800.0
INET_PL_4083;MIDAL_13;['INET_PL_408'];['INET_N_256', 'INET_N_257'];[53.17, 53.17366];[7.39, 7.496896];['DE', 'DE'];0.0;53.17183;7.138701933395535;7.443448;75.0;3.0;1983;9.166666666666664;800.0
INET_PL_4084;MIDAL_14;['INET_PL_408'];['INET_N_257', 'INET_N_242'];[53.17366, 52.613673];[7.496896, 8.493598];['DE', 'DE'];0.0;52.893666499999995;91.39351083669877;7.995247;95.28684612983216;3.0;1983;9.166666666666664;800.0
INET_PL_4085;MIDAL_15;['INET_PL_408'];['INET_N_242', 'INET_N_212'];[52.613673, 52.05857];[8.493598, 8.699208];['DE', 'DE'];0.0;52.336121500000004;63.305544527604994;8.596403;95.28684612983216;3.0;1983;9.166666666666664;800.0
INET_PL_4086;MIDAL_16;['INET_PL_408'];['INET_N_212', 'INET_N_180'];[52.05857, 50.785275];[8.699208, 9.788964];['DE', 'DE'];0.0;51.4219225;160.53174440614015;9.244086;95.57635323930965;3.0;1983;9.166666666666664;800.0
INET_PL_4087;MIDAL_17;['INET_PL_408'];['INET_N_180', 'INET_N_157'];[50.785275, 49.485];[9.788964, 8.421];['DE', 'DE'];0.0;50.1351375;174.4344959325959;9.104982;95.57635323930965;3.0;1983;9.166666666666664;800.0
INET_PL_417;Minerbio_Parma;['INET_PL_417'];['INET_N_734', 'INET_N_731'];[44.802049, 44.615731];[10.326095, 11.497959];['IT', 'IT'];0.0;44.70889;94.92473120005947;10.912027;75.0;0.0;1983;22.36183333333333;1219.0
INET_PL_419;Minerbio_RavennaTerra;['INET_PL_419'];['INET_N_728', 'INET_N_731'];[44.416686, 44.615731];[12.306514, 11.497959];['IT', 'IT'];0.0;44.5162085;67.84248715641927;11.9022365;70.0;0.0;1983;8.375;762.0
